,username,category_labels
275,lucavancharli,"['Abstract art', 'Conceptual art', 'Copywriting', 'Digital art', 'NFT art', 'Poetry', 'Pop art']"
276,kristaawad,"['Abstract art', 'NFT art', 'Painting']"
277,infinite_mantra,"['Abstract art', 'Animation', 'Assemblage', 'Conceptual art', 'Digital art', 'Graphic design', 'Illustration', 'Video art']"
278,taimazz,"['Abstract art', 'Photography']"
279,mjuventa,"['Abstract art', 'Collage', 'Curator', 'Digital art', 'Illustration', 'NFT art', 'Painting']"
280,stustustudio,"['Abstract art', 'Animation', 'NFT art', 'Photography']"
281,soft_utopia,"['Abstract art', 'Collage', 'Digital art', 'Illustration', 'NFT art']"
282,foxbox,"['Abstract art', 'Anime', 'Drawing']"
283,rockergandalf,"['Abstract art', 'Collage', 'Conceptual art', 'Digital art', 'Music composition', 'Music production', 'NFT art', 'Painting', 'Video art']"
284,jimialbert,"['Abstract art', 'NFT art', 'Painting', 'Photography']"
285,kazemirashed,"['Abstract art', 'Body art', 'Collage', 'Conceptual art', 'Drawing', 'NFT art', 'Nude art', 'Painting', 'Pop art', 'Printmaking']"
286,zaryart,"['Abstract art', 'Digital art', 'Painting']"
287,sarvari,['Abstract art']
288,miretratito,"['Abstract art', 'Digital art', 'Installation art', 'Music composition', 'Music production', 'NFT art', 'Performance art', 'Photography', 'Poetry', 'Video art']"
289,bettynajafi,"['Abstract art', 'Painting']"
290,yiki_art,"['Abstract art', 'Body art', 'Mural', 'Sculpture']"
291,yeganeh,"['Abstract art', 'Conceptual art', 'Digital art', 'Drawing', 'Graphic design', 'Illustration', 'NFT art', 'Painting', 'Photography', 'Pop art']"
292,sepidehsahebdel,"['Abstract art', 'Digital art', 'Illustration', 'NFT art', 'Painting']"
293,arkain,"['Abstract art', 'Animation', 'Digital art', 'Installation art']"
294,nicolacorina,"['Abstract art', 'Photography']"
295,fereshtehfarmand,"['Abstract art', 'Digital art', 'Illustration', 'NFT art']"
296,acessmemory,"['Abstract art', 'Digital art', 'Drawing', 'Illustration', 'Painting']"
297,sepas_eth,"['Abstract art', 'Digital art', 'Drawing', 'Illustration', 'NFT art', 'Painting', 'Pop art']"
298,mahyart,"['Abstract art', 'Painting']"
299,siyasense,"['Abstract art', 'Digital art', 'Painting', 'Photography', 'Poetry']"
300,lizahawthorne,"['Abstract art', 'Illustration', 'Photography']"
301,mana,"['Abstract art', 'Collage', 'Conceptual art', 'NFT art']"
302,stevenmorse,"['Abstract art', 'Acting', 'Conceptual art', 'Curator', 'Digital art', 'Illustration', 'Modelling', 'Photography', 'Poetry', 'Voice acting']"
303,brightlightart,"['Abstract art', 'Digital art', 'NFT art', 'Social media content']"
304,khosravipantea,"['Abstract art', 'Collage', 'NFT art', 'Painting', 'Photography']"
305,anjevela,"['Abstract art', 'Collage', 'Conceptual art', 'Curator', 'Digital art', 'Drawing', 'NFT art', 'Painting', 'Photography', 'Social media content']"
306,paxromanart,"['Abstract art', 'NFT art']"
307,pm,"['Abstract art', 'Collage', 'Conceptual art', 'Digital art', 'NFT art']"
308,eldeniz,"['Abstract art', 'NFT art']"
309,marieladinardo,"['Abstract art', 'Collage', 'Curator', 'Digital art', 'Illustration', 'Installation art', 'NFT art', 'Painting', 'Sculpture', 'Upcycling art']"
310,sunage,"['Abstract art', 'Digital art', 'NFT art']"
